日期,Open,High,Low,Close
2021-12-31,11.25,12.24,8.75,9.38
2022-01-31,9.6,10.22,6.4,7.42
2022-02-28,7.49,11.83,6.65,7.65
2022-03-31,7.69,8.475,5.55,7.72
2022-04-29,7.84,8.34,5.9,6.01
2022-05-31,6.02,6.28,3.26,3.81
2022-06-30,3.84,4.75,3.26,3.74
2022-07-29,3.71,4.69,3.61,4.21
2022-08-31,4.13,5.88,3.93,4.9
2022-09-30,4.88,5.81,4.32,4.4
2022-10-31,4.58,5.11,3.79,5.0
2022-11-30,5.09,5.28,4.08,4.45
2022-12-30,4.42,4.49,3.72,4.07
2023-01-31,3.915,4.72,3.39,4.65
2023-02-28,4.65,5.53,4.53,5.04
2023-03-31,4.99,5.1,4.13,4.76
2023-04-28,4.64,5.2,4.34,5.16
2023-05-31,5.19,7.09,5.14,6.74
2023-06-30,6.65,8.06,6.61,7.89
2023-07-31,7.93,8.29,7.54,7.96
2023-08-31,7.83,8.205,6.61,6.85
2023-09-29,7.0,7.66,6.67,7.25
2023-10-31,7.24,8.42,6.8,8.2
2023-11-30,8.22,8.87,7.745,8.14
2023-12-29,8.14,8.68,8.08,8.33
2024-01-31,8.27,9.51,8.06,8.61
2024-02-29,8.83,11.23,8.72,11.08
2024-03-28,11.19,12.385,10.93,11.93
2024-04-30,12.0,12.155,10.43,10.86
2024-05-31,10.83,12.495,10.56,11.88
2024-06-28,11.885,13.01,11.265,12.89
2024-07-31,12.92,13.64,11.96,12.13
2024-08-30,12.07,15.06,9.67,14.97
2024-09-30,14.74,15.16,13.42,13.65
2024-10-31,13.7,15.98,12.89,15.09
2024-11-29,15.05,16.145,12.37,12.53
2024-12-31,12.13,12.38,10.175,10.36
2025-01-31,10.37,13.575,10.232,13.24
2025-02-28,12.92,14.08,10.68,10.75
2025-03-31,11.0,12.07,9.78,10.24
2025-04-30,10.3,12.47,9.01,12.43
2025-05-30,12.5,13.73,11.71,12.01
2025-06-30,12.06,13.96,11.71,13.72
2025-07-31,13.73,14.135,12.18,12.22
2025-08-29,12.2,15.115,11.89,14.8
2025-09-30,14.58,16.425,14.34,16.01
2025-10-31,16.05,16.35,14.56,16.11
2025-11-28,16.19,17.555,15.19,17.39
2025-12-31,17.43,17.84,15.59,16.74
2026-01-30,17.06,18.98,16.305,17.75
2026-02-27,17.74,18.65,14.7,14.98
2026-03-31,14.46,15.355,13.41,14.37
2026-04-30,14.59,15.81,13.834,14.48
2026-05-29,14.66,14.66,11.78,13.13
2026-06-30,13.0,13.515,11.2,13.36
2026-07-22,13.28,14.55,13.085,14.51
